,Latest: Time (s),Latest: Pressure (kPa)
1198,2.995,199.892693753
1199,2.9975,199.892693753
1200,3.0,199.892693753
1201,3.0025,199.829015765
1202,3.005,199.829015765
1203,3.0075,199.829015765
1204,3.01,199.829015765
1205,3.0125,199.829015765
1206,3.015,199.829015765
1207,3.0175,199.829015765
1208,3.02,199.829015765
1209,3.0225,199.829015765
1210,3.025,199.829015765
1211,3.0275,199.829015765
1212,3.03,199.769083542
1213,3.0325,199.829015765
1214,3.035,199.829015765
1215,3.0375,199.769083542
1216,3.04,199.769083542
1217,3.0425,199.769083542
1218,3.045,199.769083542
1219,3.0475,199.70915131900003
1220,3.05,199.70915131900003
1221,3.0525,199.70915131900003
1222,3.055,199.70915131900003
1223,3.0575,199.70915131900003
1224,3.06,199.70915131900003
1225,3.0625,199.70915131900003
1226,3.065,199.70915131900003
1227,3.0675,199.70915131900003
1228,3.07,199.70915131900003
1229,3.0725,199.70915131900003
1230,3.075,199.70915131900003
1231,3.0775,199.70915131900003
1232,3.08,199.70915131900003
1233,3.0825,199.70915131900003
1234,3.085,199.70915131900003
1235,3.0875,199.70915131900003
1236,3.09,199.70915131900003
1237,3.0925,199.70915131900003
1238,3.095,199.70915131900003
1239,3.0975,199.70915131900003
1240,3.1,199.70915131900003
1241,3.1025,199.64547333099998
1242,3.105,199.70915131900003
1243,3.1075,199.70915131900003
1244,3.11,199.70915131900003
1245,3.1125,199.70915131900003
1246,3.115,199.70915131900003
1247,3.1175,199.64547333099998
1248,3.12,199.70915131900003
1249,3.1225,199.64547333099998
1250,3.125,199.64547333099998
1251,3.1275,199.64547333099998
1252,3.13,199.70915131900003
1253,3.1325,199.64547333099998
1254,3.135,199.64547333099998
1255,3.1375,199.64547333099998
1256,3.14,199.64547333099998
1257,3.1425,199.64547333099998
1258,3.145,199.64547333099998
1259,3.1475,199.585541108
1260,3.15,199.64547333099998
1261,3.1525,199.64547333099998
1262,3.155,199.64547333099998
1263,3.1575,199.64547333099998
1264,3.16,199.64547333099998
1265,3.1625,199.64547333099998
1266,3.165,199.64547333099998
1267,3.1675,199.585541108
1268,3.17,199.64547333099998
1269,3.1725,199.585541108
1270,3.175,199.585541108
1271,3.1775,199.64547333099998
1272,3.18,199.585541108
1273,3.1825,199.585541108
1274,3.185,199.64547333099998
1275,3.1875,199.64547333099998
1276,3.19,199.585541108
1277,3.1925,199.64547333099998
1278,3.195,199.64547333099998
1279,3.1975,199.585541108
1280,3.2,199.64547333099998
1281,3.2025,199.64547333099998
1282,3.205,199.64547333099998
1283,3.2075,199.585541108
1284,3.21,199.585541108
1285,3.2125,199.521863121
1286,3.215,199.521863121
1287,3.2175,199.585541108
1288,3.22,199.585541108
1289,3.2225,199.521863121
1290,3.225,199.521863121
1291,3.2275,199.585541108
1292,3.23,199.585541108
1293,3.2325,199.521863121
1294,3.235,199.521863121
1295,3.2375,199.521863121
1296,3.24,199.521863121
1297,3.2425,199.521863121
1298,3.245,199.521863121
1299,3.2475,199.521863121
1300,3.25,199.521863121
1301,3.2525,199.521863121
1302,3.255,199.521863121
1303,3.2575,199.521863121
1304,3.26,199.521863121
1305,3.2625,199.521863121
1306,3.265,199.521863121
1307,3.2675,199.521863121
1308,3.27,199.521863121
1309,3.2725,199.521863121
1310,3.275,199.461930897
1311,3.2775,199.461930897
1312,3.28,199.461930897
1313,3.2825,199.521863121
1314,3.285,199.521863121
1315,3.2875,199.461930897
1316,3.29,199.461930897
1317,3.2925,199.461930897
1318,3.295,199.461930897
1319,3.2975,199.521863121
1320,3.3,199.461930897
1321,3.3025,199.521863121
1322,3.305,199.521863121
1323,3.3075,199.521863121
1324,3.31,199.461930897
1325,3.3125,199.461930897
1326,3.315,199.461930897
1327,3.3175,199.521863121
1328,3.32,199.461930897
1329,3.3225,199.461930897
1330,3.325,199.521863121
1331,3.3275,199.521863121
1332,3.33,199.521863121
1333,3.3325,199.461930897
1334,3.335,199.461930897
1335,3.3375,199.521863121
1336,3.34,199.521863121
1337,3.3425,199.461930897
1338,3.345,199.461930897
1339,3.3475,199.461930897
1340,3.35,199.461930897
1341,3.3525,199.461930897
1342,3.355,199.461930897
1343,3.3575,199.461930897
1344,3.36,199.461930897
1345,3.3625,199.461930897
1346,3.365,199.40199867400003
1347,3.3675,199.461930897
1348,3.37,199.461930897
1349,3.3725,199.461930897
1350,3.375,199.40199867400003
1351,3.3775,199.40199867400003
1352,3.38,199.461930897
1353,3.3825,199.461930897
1354,3.385,199.40199867400003
1355,3.3875,199.40199867400003
1356,3.39,199.461930897
1357,3.3925,199.461930897
1358,3.395,199.40199867400003
1359,3.3975,199.40199867400003
1360,3.4,199.461930897
1361,3.4025,199.40199867400003
1362,3.405,199.461930897
1363,3.4075,199.40199867400003
1364,3.41,199.40199867400003
1365,3.4125,199.40199867400003
1366,3.415,199.461930897
1367,3.4175,199.461930897
1368,3.42,199.40199867400003
1369,3.4225,199.461930897
1370,3.425,199.461930897
1371,3.4275,199.40199867400003
1372,3.43,199.40199867400003
1373,3.4325,199.40199867400003
1374,3.435,199.461930897
1375,3.4375,199.461930897
1376,3.44,199.461930897
1377,3.4425,199.40199867400003
1378,3.445,199.461930897
1379,3.4475,199.461930897
1380,3.45,199.40199867400003
1381,3.4525,199.40199867400003
1382,3.455,199.40199867400003
1383,3.4575,199.461930897
1384,3.46,199.40199867400003
1385,3.4625,199.40199867400003
1386,3.465,199.40199867400003
1387,3.4675,199.40199867400003
1388,3.47,199.461930897
1389,3.4725,199.461930897
1390,3.475,199.40199867400003
1391,3.4775,199.40199867400003
1392,3.48,199.461930897
1393,3.4825,199.40199867400003
1394,3.485,199.40199867400003
1395,3.4875,199.40199867400003
1396,3.49,199.40199867400003
1397,3.4925,199.40199867400003
1398,3.495,199.40199867400003
1399,3.4975,199.40199867400003
1400,3.5,199.40199867400003
1401,3.5025,199.40199867400003
1402,3.505,199.40199867400003
1403,3.5075,199.40199867400003
1404,3.51,199.461930897
1405,3.5125,199.461930897
1406,3.515,199.461930897
1407,3.5175,199.461930897
1408,3.52,199.461930897
1409,3.5225,199.40199867400003
1410,3.525,199.40199867400003
1411,3.5275,199.40199867400003
1412,3.53,199.40199867400003
1413,3.5325,199.40199867400003
1414,3.535,199.40199867400003
1415,3.5375,199.461930897
1416,3.54,199.461930897
1417,3.5425,199.40199867400003
1418,3.545,199.461930897
1419,3.5475,199.461930897
1420,3.55,199.40199867400003
1421,3.5525,199.40199867400003
1422,3.555,199.40199867400003
1423,3.5575,199.461930897
1424,3.56,199.461930897
1425,3.5625,199.40199867400003
1426,3.565,199.40199867400003
1427,3.5675,199.461930897
1428,3.57,199.40199867400003
1429,3.5725,199.461930897
1430,3.575,199.40199867400003
1431,3.5775,199.40199867400003
