,Unnamed: 0,Latest: Time (s),Latest: Pressure (kPa)
683,683,1.7075,102.120762855
684,684,1.71,102.180695079
685,685,1.7125,102.120762855
686,686,1.715,102.120762855
687,687,1.7175,102.120762855
688,688,1.72,102.120762855
689,689,1.7225,102.120762855
690,690,1.725,102.120762855
691,691,1.7275,102.120762855
692,692,1.73,102.120762855
693,693,1.7325,102.180695079
694,694,1.735,102.120762855
695,695,1.7375,102.180695079
696,696,1.74,102.120762855
697,697,1.7425,102.180695079
698,698,1.745,102.120762855
699,699,1.7475,102.120762855
700,700,1.75,102.120762855
701,701,1.7525,102.180695079
702,702,1.755,102.120762855
703,703,1.7575,102.180695079
704,704,1.76,102.180695079
705,705,1.7625,102.120762855
706,706,1.765,102.120762855
707,707,1.7675,102.180695079
708,708,1.77,102.180695079
709,709,1.7725,102.180695079
710,710,1.775,102.180695079
711,711,1.7775,102.180695079
712,712,1.78,102.120762855
713,713,1.7825,102.120762855
714,714,1.785,102.180695079
715,715,1.7875,102.180695079
716,716,1.79,102.120762855
717,717,1.7925,102.180695079
718,718,1.795,102.180695079
719,719,1.7975,102.120762855
720,720,1.8,102.180695079
721,721,1.8025,102.180695079
722,722,1.805,102.180695079
723,723,1.8075,102.120762855
724,724,1.81,102.120762855
725,725,1.8125,102.180695079
726,726,1.815,102.180695079
727,727,1.8175,102.180695079
728,728,1.82,102.180695079
729,729,1.8225,102.180695079
730,730,1.825,102.180695079
731,731,1.8275,102.120762855
732,732,1.83,102.120762855
733,733,1.8325,102.120762855
734,734,1.835,102.120762855
735,735,1.8375,102.180695079
736,736,1.84,102.180695079
737,737,1.8425,102.180695079
738,738,1.845,102.120762855
739,739,1.8475,102.120762855
740,740,1.85,102.180695079
741,741,1.8525,102.180695079
742,742,1.855,102.120762855
743,743,1.8575,102.120762855
744,744,1.86,102.120762855
745,745,1.8625,102.180695079
746,746,1.865,102.120762855
747,747,1.8675,102.120762855
748,748,1.87,102.180695079
749,749,1.8725,102.120762855
750,750,1.875,102.120762855
751,751,1.8775,102.120762855
752,752,1.88,102.120762855
753,753,1.8825,102.120762855
754,754,1.885,102.120762855
755,755,1.8875,102.120762855
756,756,1.89,102.120762855
757,757,1.8925,102.120762855
758,758,1.895,102.120762855
759,759,1.8975,102.120762855
760,760,1.9,102.120762855
761,761,1.9025,102.120762855
762,762,1.905,102.120762855
763,763,1.9075,102.120762855
764,764,1.91,102.120762855
765,765,1.9125,102.120762855
766,766,1.915,102.120762855
767,767,1.9175,102.120762855
768,768,1.92,102.120762855
769,769,1.9225,102.120762855
770,770,1.925,102.120762855
771,771,1.9275,102.120762855
772,772,1.93,102.120762855
773,773,1.9325,102.120762855
774,774,1.935,102.120762855
775,775,1.9375,102.120762855
776,776,1.94,102.180695079
777,777,1.9425,102.120762855
778,778,1.945,102.120762855
779,779,1.9475,102.120762855
780,780,1.95,102.120762855
781,781,1.9525,102.120762855
782,782,1.955,102.120762855
783,783,1.9575,102.180695079
784,784,1.96,102.120762855
785,785,1.9625,102.120762855
786,786,1.965,102.120762855
787,787,1.9675,102.120762855
788,788,1.97,102.120762855
789,789,1.9725,102.120762855
790,790,1.975,102.120762855
791,791,1.9775,102.120762855
792,792,1.98,102.120762855
793,793,1.9825,102.120762855
794,794,1.985,102.120762855
795,795,1.9875,102.120762855
796,796,1.99,102.120762855
797,797,1.9925,102.120762855
798,798,1.995,102.120762855
799,799,1.9975,102.120762855
800,800,2.0,102.120762855
801,801,2.0025,102.120762855
802,802,2.005,102.120762855
803,803,2.0075,102.120762855
804,804,2.01,102.120762855
805,805,2.0125,102.120762855
806,806,2.015,102.120762855
807,807,2.0175,102.120762855
808,808,2.02,102.180695079
809,809,2.0225,102.120762855
810,810,2.025,102.120762855
811,811,2.0275,102.120762855
812,812,2.03,102.120762855
813,813,2.0325,102.120762855
814,814,2.035,102.120762855
815,815,2.0375,102.120762855
816,816,2.04,102.120762855
817,817,2.0425,102.120762855
818,818,2.045,102.120762855
819,819,2.0475,102.120762855
820,820,2.05,102.120762855
821,821,2.0525,102.120762855
822,822,2.055,102.120762855
823,823,2.0575,102.120762855
824,824,2.06,102.120762855
825,825,2.0625,102.120762855
826,826,2.065,102.120762855
827,827,2.0675,102.120762855
828,828,2.07,102.120762855
829,829,2.0725,102.120762855
830,830,2.075,102.120762855
831,831,2.0775,102.120762855
832,832,2.08,102.120762855
833,833,2.0825,102.120762855
834,834,2.085,102.120762855
835,835,2.0875,102.120762855
836,836,2.09,102.120762855
837,837,2.0925,102.120762855
838,838,2.095,102.120762855
839,839,2.0975,102.120762855
840,840,2.1,102.120762855
841,841,2.1025,102.120762855
842,842,2.105,102.120762855
843,843,2.1075,102.120762855
844,844,2.11,102.120762855
845,845,2.1125,102.120762855
846,846,2.115,102.120762855
847,847,2.1175,102.120762855
848,848,2.12,102.120762855
849,849,2.1225,102.120762855
850,850,2.125,102.120762855
851,851,2.1275,102.120762855
852,852,2.13,102.120762855
853,853,2.1325,102.120762855
854,854,2.135,102.120762855
855,855,2.1375,102.120762855
856,856,2.14,102.120762855
857,857,2.1425,102.120762855
858,858,2.145,102.120762855
859,859,2.1475,102.120762855
860,860,2.15,102.120762855
861,861,2.1525,102.120762855
862,862,2.155,102.120762855
863,863,2.1575,102.120762855
864,864,2.16,102.120762855
865,865,2.1625,102.120762855
866,866,2.165,102.120762855
867,867,2.1675,102.120762855
868,868,2.17,102.120762855
869,869,2.1725,102.120762855
870,870,2.175,102.120762855
871,871,2.1775,102.120762855
872,872,2.18,102.120762855
873,873,2.1825,102.120762855
874,874,2.185,102.120762855
875,875,2.1875,102.120762855
876,876,2.19,102.120762855
877,877,2.1925,102.120762855
878,878,2.195,102.120762855
879,879,2.1975,102.120762855
880,880,2.2,102.120762855
881,881,2.2025,102.120762855
882,882,2.205,102.120762855
883,883,2.2075,102.120762855
884,884,2.21,102.120762855
885,885,2.2125,102.120762855
886,886,2.215,102.120762855
887,887,2.2175,102.120762855
888,888,2.22,102.120762855
889,889,2.2225,102.120762855
890,890,2.225,102.120762855
891,891,2.2275,102.120762855
892,892,2.23,102.120762855
893,893,2.2325,102.120762855
894,894,2.235,102.120762855
895,895,2.2375,102.120762855
896,896,2.24,102.120762855
897,897,2.2425,102.120762855
898,898,2.245,102.120762855
899,899,2.2475,102.120762855
900,900,2.25,102.120762855
901,901,2.2525,102.120762855
902,902,2.255,102.120762855
903,903,2.2575,102.120762855
904,904,2.26,102.120762855
905,905,2.2625,102.120762855
906,906,2.265,102.120762855
907,907,2.2675,102.120762855
908,908,2.27,102.120762855
909,909,2.2725,102.120762855
910,910,2.275,102.120762855
911,911,2.2775,102.120762855
912,912,2.28,102.120762855
913,913,2.2825,102.120762855
914,914,2.285,102.120762855
915,915,2.2875,102.120762855
916,916,2.29,102.120762855
917,917,2.2925,102.120762855
918,918,2.295,102.120762855
919,919,2.2975,102.120762855
920,920,2.3,102.120762855
921,921,2.3025,102.120762855
922,922,2.305,102.120762855
923,923,2.3075,102.120762855
924,924,2.31,102.120762855
925,925,2.3125,102.120762855
926,926,2.315,102.120762855
927,927,2.3175,102.120762855
928,928,2.32,102.120762855
929,929,2.3225,102.120762855
930,930,2.325,102.120762855
931,931,2.3275,102.120762855
932,932,2.33,102.120762855
933,933,2.3325,102.120762855
934,934,2.335,102.120762855
935,935,2.3375,102.120762855
936,936,2.34,102.120762855
937,937,2.3425,102.120762855
938,938,2.345,102.120762855
939,939,2.3475,102.120762855
940,940,2.35,102.120762855
941,941,2.3525,102.120762855
942,942,2.355,102.120762855
943,943,2.3575,102.120762855
944,944,2.36,102.120762855
945,945,2.3625,102.120762855
946,946,2.365,102.120762855
947,947,2.3675,102.120762855
948,948,2.37,102.120762855
949,949,2.3725,102.120762855
950,950,2.375,102.120762855
951,951,2.3775,102.120762855
952,952,2.38,102.120762855
953,953,2.3825,102.120762855
